anchor_id,monthly_sales_avg_alltime_jpy,n_months_alltime,monthly_sales_avg_l6m_jpy,n_months_l6m,l6m_first_month,l6m_last_month,sales_2025_local,ebitda_2025_local,ebitda_margin_2025
gc_1521,7131614.946428572,56,7600898.166666667,6,2023-09-01,2024-02-01,116488153.0,14878133.4,0.12772228777633723
gc_1522,8879940.272727273,11,10034130.5,6,2025-07-01,2025-12-01,103661248.0,17035710.0,0.1643401977950333
gc_1523,8412307.363636363,11,8711509.666666666,6,2025-07-01,2025-12-01,98812394.0,11171086.725000001,0.11305349736795164
gc_1524,6589703.6,10,6632278.333333333,6,2025-07-01,2025-12-01,75530736.0,3154186.0,0.04176029742381962
gc_1525,9444061.5,10,9749330.666666666,6,2025-07-01,2025-12-01,107283297.0,9614103.0,0.08961416426268108
gc_1526,6893809.111111111,9,7067916.166666667,6,2025-07-01,2025-12-01,82015848.0,19630051.0,0.2393446081298824
gc_1527,4659211.222222222,9,4733427.0,6,2025-07-01,2025-12-01,55427233.0,1246156.5722999992,0.0224827490901449
gc_1528,10757605.35,60,13316064.0,6,2024-03-01,2024-08-01,162470294.0,26128308.0,0.16081898639267558
gc_1529,8533498.625,8,8629037.5,6,2025-07-01,2025-12-01,93283737.0,8526243.0,0.09140117317555578
gc_1530,7514598.75,8,7303960.666666667,6,2025-07-01,2025-12-01,89553301.0,11705823.0,0.13071347308571016
gc_1531,9111869.5,8,9327694.166666666,6,2025-07-01,2025-12-01,110605695.0,25411076.91782,0.22974474250914476
gc_1532,14876218.857142856,7,15087818.166666666,6,2025-07-01,2025-12-01,157948225.0,25699124.0,0.1627060006530621
gc_1533,9576692.714285715,7,9317246.666666666,6,2025-07-01,2025-12-01,107194875.0,-7233915.87,-0.06748378474250752
gc_1534,10101207.75,4,10101207.75,4,2025-09-01,2025-12-01,117976009.0,19388085.0,0.164339217475987
gc_1535,10862393.0,4,10862393.0,4,2025-09-01,2025-12-01,105184026.0,9087546.0,0.08639663593025047
gc_1536,11113534.5,4,11113534.5,4,2025-09-01,2025-12-01,113673253.0,15154732.565000001,0.13331836791017146
gc_1537,10677607.5,4,10677607.5,4,2025-09-01,2025-12-01,102004863.0,13383605.0,0.13120555830754854
gc_1538,8705935.333333334,6,8705935.333333334,6,2019-11-01,2020-04-01,76618886.0,1658686.7000000002,0.0216485358453267
gc_1539,6592031.333333333,3,6592031.333333333,3,2025-10-01,2025-12-01,69585804.0,5686756.564999997,0.08172294114759379
gc_1540,8250768.666666667,3,8250768.666666667,3,2025-10-01,2025-12-01,83378464.0,6960433.0,0.08347998591099015
gc_1541,12806569.333333334,3,12806569.333333334,3,2025-10-01,2025-12-01,127391153.0,22191142.0,0.17419688477111123
gc_1542,7866737.666666667,3,7866737.666666667,3,2025-10-01,2025-12-01,75369285.0,18082065.0,0.23991291678035687
gc_1543,8427952.666666666,3,8427952.666666666,3,2025-10-01,2025-12-01,82958022.0,10975949.0,0.13230726499240786
gc_1544,6216171.0,3,6216171.0,3,2025-10-01,2025-12-01,59549544.0,5833502.0,0.09796048144382097
gc_1545,9280290.666666666,3,9280290.666666666,3,2025-10-01,2025-12-01,93680642.0,12036149.0,0.128480641710376
gc_1546,7778277.0,3,7778277.0,3,2025-10-01,2025-12-01,74347576.0,-1444864.0,-0.019433908645521948
gc_1547,10830898.333333334,3,10830898.333333334,3,2025-10-01,2025-12-01,102145695.0,15064296.0,0.1474785207541052
gc_1548,9707115.0,3,9707115.0,3,2025-10-01,2025-12-01,82668739.0,8994017.07,0.10879586623427268
gc_1549,6596892.5,2,6596892.5,2,2025-11-01,2025-12-01,57023581.0,-2306659.6050000004,-0.04045097772796837
gc_1550,6778687.5,2,6778687.5,2,2025-11-01,2025-12-01,60814381.0,886164.9000000004,0.014571633969274477
gc_1551,3504230.5,2,3504230.5,2,2025-11-01,2025-12-01,29713404.0,-7368459.0,-0.24798434403543937
gc_1552,,1,,1,2025-12-01,2025-12-01,50986016.0,-655320.0,-0.012852935989350492
gc_1553,,1,,1,2025-12-01,2025-12-01,67949937.0,14912981.0,0.2194701225403638
gc_1554,,1,,1,2025-12-01,2025-12-01,68238149.0,5589680.0,0.08191429694260904
gc_1555,,1,,1,2025-12-01,2025-12-01,60419098.0,8730235.34,0.14449463214429317
gc_1556,,1,,1,2025-12-01,2025-12-01,73581478.0,-36399.0,-0.0004946761194440807
gc_1559,7120338.463414635,41,7771601.666666667,6,2024-01-01,2024-06-01,63390420.0,10925533.32,0.17235306723003255
gc_1565,4348984.333333333,30,4952997.333333333,6,2023-10-01,2024-03-01,0.0,0.0,
